ticker,announce_date,announce_hour,eps_est,eps_act
MSFT,2023-07-25,16.0,2.55,2.69
MSFT,2023-04-25,16.0,2.23,2.45
MSFT,2023-01-24,16.0,2.32,2.32
MSFT,2022-10-25,16.0,2.31,2.35
MSFT,2022-07-26,16.0,2.29,2.23
MSFT,2022-04-26,16.0,2.2,2.22
MSFT,2022-01-25,16.0,2.32,2.48
MSFT,2021-10-26,16.0,2.08,2.27
MSFT,2021-07-27,16.0,1.93,2.17
MSFT,2021-04-27,16.0,1.78,1.95
MSFT,2021-01-26,16.0,1.64,2.03
MSFT,2020-10-27,16.0,1.55,1.82
MSFT,2020-07-22,16.0,1.37,1.46
MSFT,2020-04-29,16.0,1.27,1.4
MSFT,2020-01-29,16.0,1.32,1.51
MSFT,2019-10-23,16.0,1.24,1.38
MSFT,2019-07-18,16.0,1.21,1.37
MSFT,2019-04-24,16.0,1.0,1.14
MSFT,2019-01-30,16.0,1.09,1.1
MSFT,2018-10-24,16.0,0.97,1.14
MSFT,2018-07-19,16.0,1.08,1.13
MSFT,2018-04-26,16.0,0.85,0.95
MSFT,2018-01-31,16.0,0.87,0.96
MSFT,2017-10-26,16.0,0.73,0.84
MSFT,2017-07-20,16.0,0.71,0.98
MSFT,2017-04-27,16.0,0.7,0.73
MSFT,2017-01-26,16.0,0.79,0.84
MSFT,2016-10-20,16.0,0.68,0.76
MSFT,2016-07-19,16.0,0.58,0.69
MSFT,2016-04-21,16.0,0.64,0.62
MSFT,2016-01-28,16.0,0.71,0.78
MSFT,2015-10-22,16.0,0.59,0.67
MSFT,2015-07-21,16.0,0.57,0.62
MSFT,2015-04-23,16.0,0.53,0.62
MSFT,2015-01-26,16.0,0.74,0.77
MSFT,2014-10-23,16.0,0.54,0.65
MSFT,2014-07-22,16.0,0.6,0.55
NVDA,2026-11-17,15.0,2.47,
NVDA,2026-08-26,16.0,2.09,2.22
NVDA,2026-05-20,16.0,1.77,1.87
NVDA,2026-02-25,16.0,1.54,1.62
NVDA,2025-11-19,16.0,1.26,1.3
NVDA,2025-08-27,16.0,1.01,1.05
NVDA,2025-05-28,16.0,0.75,0.81
NVDA,2025-02-26,16.0,0.85,0.89
NVDA,2024-11-20,16.0,0.75,0.81
NVDA,2024-08-28,16.0,0.64,0.68
NVDA,2024-05-22,16.0,0.56,0.61
NVDA,2024-02-21,16.0,0.46,0.52
NVDA,2023-11-21,16.0,0.34,0.4
NVDA,2023-08-23,16.0,0.21,0.27
NVDA,2023-05-24,16.0,0.09,0.11
NVDA,2023-02-22,16.0,0.08,0.09
NVDA,2022-11-16,16.0,0.07,0.06
NVDA,2022-08-24,16.0,0.05,0.05
NVDA,2022-05-25,16.0,0.13,0.14
NVDA,2022-02-16,16.0,0.12,0.13
NVDA,2021-11-17,16.0,0.11,0.12
NVDA,2021-08-18,16.0,0.1,0.1
NVDA,2021-05-26,16.0,0.08,0.09
NVDA,2021-02-24,16.0,0.07,0.08
NVDA,2020-11-18,16.0,0.06,0.07
NVDA,2020-08-19,16.0,0.05,0.05
NVDA,2020-05-21,16.0,0.04,0.05
NVDA,2020-02-13,16.0,0.04,0.05
NVDA,2019-11-14,16.0,0.04,0.04
NVDA,2019-08-15,16.0,0.03,0.03
NVDA,2019-05-16,16.0,0.02,0.02
NVDA,2019-02-14,16.0,0.02,0.02
NVDA,2018-11-15,16.0,0.05,0.05
NVDA,2018-08-16,16.0,0.05,0.05
NVDA,2018-05-10,16.0,0.04,0.05
NVDA,2018-02-08,16.0,0.03,0.04
NVDA,2017-11-09,16.0,0.03,0.03
NVDA,2017-08-10,16.0,0.02,0.03
NVDA,2017-05-09,16.0,0.02,0.02
NVDA,2017-02-09,16.0,0.02,0.03
NVDA,2016-11-10,16.0,0.02,0.02
NVDA,2016-08-11,16.0,0.01,0.01
NVDA,2016-05-12,21.0,0.01,0.01
NVDA,2016-02-17,16.0,0.01,0.01
NVDA,2015-11-05,16.0,0.01,0.01
NVDA,2015-08-06,16.0,0.01,0.01
NVDA,2015-05-07,16.0,0.01,0.01
NVDA,2015-02-11,16.0,0.01,0.01
NVDA,2014-11-06,16.0,0.01,0.01
NVDA,2014-08-07,16.0,0.01,0.01
AVGO,2026-12-09,15.0,3.83,
AVGO,2026-09-02,16.0,3.24,
AVGO,2026-06-03,16.0,2.4,2.44
AVGO,2026-03-04,16.0,2.02,2.05
AVGO,2025-12-11,16.0,1.87,1.95
AVGO,2025-09-04,16.0,1.66,1.69
AVGO,2025-06-05,16.0,1.57,1.58
AVGO,2025-03-06,16.0,1.51,1.6
AVGO,2024-12-12,16.0,1.39,1.42
AVGO,2024-09-05,16.0,1.21,1.24
AVGO,2024-06-12,16.0,1.08,1.1
AVGO,2024-03-07,16.0,1.04,1.1
AVGO,2023-12-07,16.0,1.1,1.11
AVGO,2023-08-31,16.0,1.04,1.05
AVGO,2023-06-01,16.0,1.01,1.03
